symbol,korean_meaning,gil_hyung,context_guide,cultural_note
해/달,부모 또는 국가적 영광,길몽,해와 달이 동시에 뜨거나 품에 안는 상황,최고의 광명과 영광을 상징하며 부모님의 안녕을 의미하기도 함.
옷,신분과 명예,중립,"새 옷을 입으면 신분 상승,  낡은 옷은 명예 실추",의관정제(衣冠整齊)를 중시한 선비 문화에서 옷은 곧 사람의 격을 의미.
지갑/돈,권리나 조력자,중립,돈을 줍는 것보다 지갑을 얻는 것이 더 큰 권리를 상징,단순한 현금보다 그 돈을 담는 그릇(지갑)을 더 중요하게 봄.
바다,풍요와 무의식,중립,"잔잔한 바다는 평화,  거친 파도는 풍파를 의미",삶의 기반이자 거대한 변화의 원천으로 해석됨.
산,목표와 기틀,길몽,높은 산 정상에 오르거나 산맥을 바라보는 상황,국토의 80%가 산인 한국에서 산은 삶의 터전이자 극복해야 할 목표.
피(Blood),생명력과 재물,길몽,몸에서 피가 나거나 남의 피가 묻는 상황,전통적으로 피는 생명력의 응축이며 흘러넘치는 것은 재산의 증식을 의미.
칼/검,결단력과 능력,중립,칼을 얻으면 권세를 얻으나 칼에 베이면 상처를 입음,문제 해결의 도구이자 동시에 살생의 도구라는 이중성.
고양이,근심이나 비밀,흉몽,고양이가 노려보거나 할퀴는 상황,전통적으로 영물로 보았으나 집안에 근심이 생길 징조로 자주 해석됨.
개(Dog),충성이나 평범함,중립,백구는 길조이나 검은 개는 우환을 암시하기도 함,인간의 가장 가까운 벗으로 조력자나 하찮은 일을 상징.
까마귀,흉사 또는 불길,흉몽,까마귀가 집 근처에서 계속 우는 상황,죽음이나 불행을 예고하는 새로 인식되어 매사 조심을 요함.
벼락/천둥,경고 또는 급변,중립,벼락이 나무에 맞거나 땅에 떨어지는 상황,하늘의 징벌 혹은 거대한 변화의 시작을 의미.
쌀(Rice),식복과 재물,길몽,쌀통이 가득 차거나 쌀을 선물 받는 상황,농경 사회의 가장 기본이 되는 재화로 식복(식복)을 상징.
옷을 벗음,신분 상실 또는 무방비,흉몽,공공장소에서 옷을 벗어 당황하는 상황,보호막이 사라지고 치부가 드러나는 사회적 위신 실추를 의미.
잉어,합격과 출세,길몽,맑은 물에서 큰 잉어를 손으로 잡는 상황,등용문(登龍門) 설화에서 유래하여 시험 합격이나 승진을 의미함.
거북이,장수와 수호,길몽,거북이가 집으로 들어오거나 거북이를 타고 바다를 건너는 상황,사신(四神) 중 하나인 현무를 상징하며 가문의 안녕과 장수를 의미.
나비,사랑과 풍요,길몽,화려한 나비가 꽃에 앉거나 몸에 붙는 상황,남녀간의 애정과 예술적 영감을 상징하며 즐거운 소식을 가져옴.
학(Crane),고고함과 선비정신,길몽,학이 뜰에서 춤을 추거나 소나무 위에 앉아 있는 상황,지조 있는 선비나 학자를 상징하며 명예로운 일이 생길 징조.
머리카락,생명력과 자존심,중립,"머리카락이 길어지면 길몽,  빠지거나 잘리면 걱정거리 발생",신체 일부분으로서 자신의 에너지와 사회적 지위를 나타냄.
반지/보석,인연과 계약,길몽,"빛나는 반지를 손가락에 끼거나 보석을 줍는 상황, 새로운 인연(결혼", 협력)이 맺어지거나 귀중한 권리를 얻음.
무지개,희망과 영광,길몽,비 온 뒤 무지개가 선명하게 떠 있는 것을 보는 상황,어려운 시기가 지나고 만천하에 이름을 떨칠 영광이 찾아옴.
우물,근원과 자금,중립,"우물물이 가득 차면 풍요,  마르면 자금줄이 막힘",지식이나 재물의 원천을 상징하며 마음의 상태를 비추기도 함.
지네,재물과 사업,길몽,지네가 몸을 기어오르거나 큰 지네를 보는 상황,다리가 많은 지네는 예로부터 재물을 긁어모으는 영물로 대접받음.
고추/과일,태몽과 수확,길몽,붉은 고추나 탐스러운 과일을 따서 치마에 담는 상황,성별을 암시하는 태몽이거나 노력의 결과물을 얻게 됨을 의미.
안개,방황과 불확실,흉몽,앞이 보이지 않는 짙은 안개 속을 걷는 상황,현재 진행 중인 일의 방향성을 잃거나 사기를 당할 수 있으니 주의.
금(Gold),최고의 가치와 명예,길몽,황금 덩어리를 얻거나 금박을 입히는 상황,변하지 않는 가치와 최고의 영예를 상징함.
책(Book),지혜와 학업,길몽,"책을 선물 받거나 도서관에서 책을 찾는 상황, 학문적 성취나 새로운 깨달음", 혹은 귀인의 도움을 의미함.
문(Door),기회와 소통,중립,"문이 열리면 새로운 기회,  닫히면 단절",세상과 나를 연결하는 통로로서 변화의 시작점을 의미함.
성벽/담장,보호와 장애,중립,"성벽을 쌓으면 보호,  가로막히면 장애물",자신의 영역을 지키려는 의지나 외부와의 소통 단절을 상징함.
배(Boat),항해와 인생로,중립,"순항하면 삶의 안정,  풍랑을 만나면 시련",자신의 인생을 이끌어가는 수단과 방향을 의미함.
소(Cow),조상이나 큰 재산,길몽,황소를 집으로 끌어오거나 소가 쟁기질을 하는 상황,농가 최고의 자산이자 조상의 화신으로 여겨지기도 함.
닭,시간과 경고,중립,"닭이 새벽을 알리면 길몽,  한낮에 울면 우환",새로운 시작의 신호이자 때를 알려주는 메신저 역할.
까치집,기틀과 안식처,길몽,높은 나무 위에 견고한 까치집을 보는 상황,가정의 화목과 사업의 기틀이 잡힘을 암시함.
지진,기반의 흔들림,흉몽,"땅이 갈라지고 건물이 흔들리는 상황, 믿었던 기반(직장", 가정)이 흔들리거나 큰 사회적 변동을 겪음.
홍수,거대한 변화,중립,"물이 맑으면 큰 세력을 얻고,  탁하면 재난을 겪음",개인의 힘으로 막을 수 없는 압도적인 변화의 흐름.
눈(Snow),순수와 부담,중립,"함박눈이 내리면 서정적 길조,  눈보라는 고난",세상을 덮는 거대한 영향력 혹은 차갑고 무거운 책임감.
비(Rain),은총과 정화,중립,"단비는 소원 성취,  폭풍우는 심란함",하늘의 은혜나 묵은 때를 씻어내는 정화의 과정을 상징함.
꽃(Flower),성공과 찬사,길몽,꽃이 만발한 정원을 걷거나 꽃다발을 받는 상황,인생의 화창한 시기와 사람들로부터 받는 인정을 의미함.
나무,성장과 뿌리,길몽,큰 나무가 쑥쑥 자라거나 푸른 잎이 무성한 상황,사업의 번창과 자손의 번영을 상징함.
과일나무,결실과 다산,길몽,열매가 주렁주렁 열린 나무를 보는 상황,그동안의 노력이 결실을 맺거나 풍요로운 삶을 누리게 됨.
구름,높은 이상과 유랑,중립,"오색 구름은 길조,  먹구름은 우환",높은 이상향을 쫓거나 정처 없이 떠도는 마음 상태를 반영함.
달리기,열정과 도피,중립,"목표를 향해 뛰면 열정,  쫓겨서 뛰면 불안",자신의 에너지를 쏟아붓는 방식과 심리적 압박감을 의미함.
수영,적응과 노력,중립,"부드럽게 수영하면 적응,  허우적거리면 고전",자신의 감정이나 사회적 상황을 다루는 능력을 나타냄.
목욕/세수,참회와 쇄신,길몽,따뜻한 물로 몸을 깨끗이 씻는 상황,지난 과오를 씻고 새로운 마음가짐으로 출발함을 상징함.
식사,욕구와 보충,중립,"맛있는 식사는 만족,  체하면 근심",정신적 혹은 육체적인 결핍을 채우려는 본능적 욕구.
웃음,기쁨과 허탈,중립,"통쾌하게 웃으면 길몽,  비웃음은 구설수",감정의 해소 혹은 타인과의 관계에서 오는 마찰을 반영함.
눈물,정화와 슬픔,중립,"시원하게 울면 근심 해소,  서럽게 울면 실제 슬픔",억눌린 감정의 분출과 마음의 정화 과정.
싸움,갈등과 해소,중립,"이기면 경쟁에서 승리,  지면 위축",현실의 갈등 상황이나 내면의 모순을 극복하려는 시도.
잔치,경사와 낭비,중립,"즐거운 잔치는 경사,  시끄럽고 무질서하면 구설수","사회적 인정과 축하,  혹은 지나친 에너지 소모를 경계함."
선물,호의와 책임,길몽,"좋은 선물을 받는 상황, 타인으로부터의 도움이나 새로운 기회", 혹은 그에 따르는 책임감을 의미함.
여행,변화와 탐색,중립,"즐거운 여행은 새로운 시작,  고된 여행은 시련",삶의 새로운 영역으로 나아가려는 호기심과 모험심.
공부,준비와 성찰,중립,"열심히 공부하면 발전,  시험에 떨어지면 불안",자신의 능력을 키우려는 노력 혹은 평가에 대한 두려움.
잠/휴식,안정과 정체,중립,"편안한 잠은 에너지 충전,  계속 잠만 자면 무력감",삶의 템포 조절과 내면의 안정이 필요한 상태.
산책,여유와 관조,길몽,한적한 숲길이나 공원을 천천히 걷는 상황,현재의 삶을 되돌아보고 마음의 평온을 찾는 시기.
전화/통신,연결과 소식,중립,"반가운 전화는 길조,  끊기면 단절",타인과의 소통 상태나 중요한 정보의 전달을 의미함.
계단,단계와 노력,중립,"올라가면 발전,  내려가면 하락",목표를 향한 단계적인 과정과 그에 따르는 수고를 반영함.
창문,통찰과 호기심,중립,"맑은 창밖을 보면 희망,  깨진 창은 통찰력 상실",세상을 바라보는 관점과 내면의 소통 채널.
열쇠,해결과 권한,길몽,꼭 맞는 열쇠를 얻어 문을 여는 상황,막혔던 일의 해결책을 찾거나 중요한 직책을 맡게 됨.
가방,준비와 짐,중립,"가방을 챙기면 새로운 시작,  무거운 가방은 부담",자신이 감당해야 할 책임이나 준비된 역량을 상징함.
우산,보호와 의지처,중립,비 오는 날 우산을 쓰는 상황,어려운 상황에서 자신을 지켜줄 조력자나 수단을 얻음.
안경,관점과 지혜,중립,"안경을 쓰고 밝게 보이면 통찰력 상승,  부러지면 판단 착오",사물을 보는 정확한 시각과 지적인 능력을 의미함.
시계,약속과 압박,중립,"정확한 시각을 확인하면 계획대로 진행,  고장 나면 차질",시간에 대한 강박이나 인생의 주기를 나타냄.
거울,자아와 진실,중립,거울 속 자신을 바라보는 상황,자신의 내면을 직시하거나 타인에게 비치는 이미지를 고민함.
사진,추억과 기록,중립,사진첩을 보거나 사진을 찍는 상황,과거에 대한 그리움이나 현재의 순간을 보존하려는 욕구.
편지,진심과 소식,중립,정성스러운 편지를 받는 상황,누군가의 진심 어린 마음이나 멀리서 온 중요한 정보를 의미함.
돈뭉치,욕망과 성과,중립,많은 돈을 소유하는 상황,물질적인 욕망의 투영이거나 그동안의 노력에 대한 보상을 상징함.
주머니,비밀과 소유,중립,"주머니에 무언가 넣으면 획득,  구멍 나면 손실",개인적인 비밀이나 사소한 이득을 관리하는 상태.
모자,명예와 보호,중립,"멋진 모자를 쓰면 지위 상승,  날아가면 명예 실추",자신의 사회적 지위를 나타내거나 머리(생각)를 보호함.
장갑,수단과 조심성,중립,"장갑을 끼면 철저한 준비,  잃어버리면 협력자 상실",일을 처리하는 정교한 수단이나 타인과의 관계에서의 예의.
지팡이,의지처와 권위,길몽,튼튼한 지팡이를 짚고 걷는 상황,노년의 안락함이나 자신을 지탱해줄 강력한 후원자를 의미함.
빗(Comb),정돈과 해결,길몽,엉킨 머리를 빗으로 가지런히 빗는 상황,복잡했던 일들이 하나씩 풀리고 마음이 평온해짐.
바늘/실,연결과 예민함,중립,"바느질을 잘하면 관계 회복,  찔리면 상처",사소한 것까지 챙기는 섬세함이나 인연을 맺는 과정.
가위,단절과 결정,중립,무언가를 단호하게 자르는 상황,필요 없는 인연을 정리하거나 명확한 결단을 내릴 때.
망치,창조와 파괴,중립,"못을 박으면 건설적,  무언가 부수면 파괴적",강력한 힘을 사용하여 상황을 변화시키려는 의지.
사다리,기회와 위태로움,중립,"높이 오르면 상승,  흔들리면 불안정",목표에 도달하기 위한 임시 방편과 그에 따르는 리스크.
그릇,그릇의 크기와 인품,중립,"큰 그릇은 큰 인물,  깨진 그릇은 복이 나감",자신이 담을 수 있는 복의 양과 정신적인 역량.
항아리,저장과 결실,길몽,장이 가득 찬 항아리를 보는 상황,오랜 정성이 깃든 성과나 집안의 가업이 번창함을 의미함.
촛불,희망과 희생,중립,"어둠 속 촛불은 인도자,  꺼지면 실망",작은 희망의 불씨나 자신을 태워 남을 돕는 고귀한 정신.
등불,안내와 지혜,길몽,길을 안내하는 등불을 따라가는 상황,인생의 스승을 만나거나 명확한 목표를 발견함.
풍선,꿈과 허상,중립,"높이 날면 희망,  터지면 허무",일시적인 기분 상승이나 실체가 없는 헛된 욕망을 경계함.
연(Kite),이상과 조절,중립,"실을 잘 조절하며 날리면 성공,  끊기면 상실",자신의 이상을 현실에 맞게 조절하며 키워나가는 과정.
종(Bell),경고와 명성,중립,"은은한 종소리는 길조,  시끄러운 종소리는 우환",세상에 이름을 널리 알리거나 중요한 때임을 자각함.
악기,조화와 감성,중립,"아름다운 연주는 화합,  불협화음은 갈등",주변 사람들과의 감정적인 조화와 예술적인 욕구.
그림,투영과 이상,중립,멋진 그림을 감상하는 상황,자신의 내면 풍경이나 추구하는 이상적인 삶을 시각화함.
인형,투사된 자아와 외로움,중립,인형을 안고 있거나 노는 상황,자신의 감정을 다른 대상에 투영하거나 누군가의 보살핌을 원함.
장난감,유희와 미성숙,중립,장난감을 가지고 즐겁게 노는 상황,삶의 즐거움을 찾으려는 동심이나 아직 책임감이 부족한 상태.
보물상자,잠재력과 발견,길몽,숨겨진 보물상자를 발견하는 상황,자신의 숨겨진 재능을 찾거나 뜻밖의 행운을 만남.
지도,계획과 방향성,중립,지도를 보며 길을 찾는 상황,인생의 중장기적인 계획을 세우거나 올바른 길을 고민함.
나침반,원칙과 기준,길몽,나침반 바늘이 정확한 방향을 가리키는 상황,혼란스러운 상황에서 흔들리지 않는 삶의 기준을 찾음.
망원경,원견과 호기심,중립,멀리 있는 풍경을 자세히 보는 상황,미래를 내다보는 안목을 키우거나 멀리 있는 기회를 포착함.
돋보기,집중과 분석,중립,작은 것을 크게 확대해서 보는 상황,사소한 부분까지 놓치지 않는 치밀함과 분석적인 태도.
램프,아이디어와 영감,길몽,어둠 속에서 램프를 켜는 상황,창의적인 아이디어가 떠오르거나 문제 해결의 실마리를 찾음.
밧줄,연결과 구속,중립,"밧줄을 잡고 오르면 조력자,  묶이면 구속",위기 탈출의 수단이나 자신을 억죄는 환경을 의미함.
사슬,인연과 속박,중립,"강한 결속은 신뢰,  무거운 사슬은 고통",끊기 힘든 강력한 인연이나 자유를 뺏는 고된 상황.
그물,포획과 함정,중립,"물고기를 가득 잡으면 성과,  그물에 걸리면 곤경",성과를 거두기 위한 전략이나 타인이 판 함정을 경계함.
울타리,경계와 보호,중립,"울타리를 견고히 하면 안전,  무너지면 침범",자신의 영역을 지키려는 방어 기제나 소속감을 의미함.
다리(Bridge),연결과 건너감,중립,"무사히 건너면 전직/변화 성공,  끊어진 다리는 단절",한 단계에서 다른 단계로 넘어가는 전환점.
길(Road),인생의 여정,중립,"탄탄대로는 순탄,  가시밭길은 고난",자신이 걸어온 과거와 나아가야 할 미래를 상징함.
갈림길,선택과 고민,중립,어느 길로 갈지 망설이는 상황,인생의 중요한 갈림길에서 내려야 할 결단을 상징함.
막다른 길,한계와 좌절,흉몽,더 이상 갈 곳이 없는 벽에 부딪히는 상황,현재의 방식으로는 한계에 다다랐으니 변화가 필요함.
광장,소통과 여론,중립,넓은 광장에 많은 사람이 모여 있는 상황,사회적인 관계망 속에서 자신의 위치와 여론의 흐름.
공원,안식과 공공성,길몽,평화로운 공원에서 휴식을 취하는 상황,정신적인 여유와 조화로운 사회 생활을 의미함.
시장,활력과 혼란,중립,북적이는 시장에서 장을 보는 상황,삶의 생동감과 다양한 욕구들이 충돌하는 현실적인 삶.
학교,배움과 평가,중립,수업을 듣거나 시험을 치는 상황,성장을 위한 노력이나 사회적 기준에 대한 압박감.
병원,치유와 불안,중립,"치료를 받으면 회복,  병명이 안 나오면 불안",심신의 회복이 필요하거나 현재 상태에 대한 점검.
경찰서,규율과 심판,중립,조사를 받거나 도움을 요청하는 상황,사회적 규범에 대한 죄책감이나 보호받고 싶은 마음.
법원,시비와 판결,중립,재판을 받거나 지켜보는 상황,옳고 그름을 가려야 할 문제나 최종적인 결정을 기다림.
감옥,억압과 성찰,중립,갇혀서 나가지 못하는 상황,자유를 박탈당한 고통이나 스스로를 가두고 반성하는 시간.
교회/사원,신앙과 안식,중립,기도를 하거나 종교적인 의식을 치르는 상황,절대자에게 의지하고 싶은 마음과 영적인 평화.
묘지,과거와 매듭,중립,무덤을 돌보거나 묘지를 걷는 상황,과거의 기억을 정리하거나 죽음(끝)에 대한 성찰.
공사장,진행과 소음,중립,건물이 지어지는 과정을 지켜보는 상황,새로운 사업이나 계획이 추진 중이며 그에 따르는 혼란.
공장,생산과 기계적 삶,중립,기계가 돌아가는 공장에서 일하는 상황,성실한 노력의 반복이나 창의성 없는 반복적인 삶.
은행,신용과 가치,중립,돈을 예금하거나 대출을 받는 상황,자신의 경제적 능력이나 사회적인 신용도를 나타냄.
도서관,지식과 탐구,길몽,수많은 책 속에서 지식을 찾는 상황,지적인 성장을 향한 열망과 방대한 정보를 처리함.
극장,관조와 허구,중립,영화나 연극을 관람하는 상황,자신의 삶을 객관적으로 바라보거나 현실 도피적인 경향.
식당,제공과 사교,중립,음식을 주문하고 기다리는 상황,타인으로부터 무언가를 얻고자 하거나 사회적인 교류.
백화점,선택과 과시,중립,화려한 상품들 사이에서 쇼핑하는 상황,다양한 선택지 앞에서의 고민이나 물질적인 욕망.
기차역/공항,출발과 설레임,중립,떠나기 위해 대기하는 상황,인생의 큰 전환점을 앞둔 긴장감과 기대감.
정류장,일시적 정지와 대기,중립,버스를 기다리며 서 있는 상황,다음 단계로 넘어가기 위한 준비 시간과 인내.
주차장,정돈과 정체,중립,차를 주차하거나 주차 자리를 찾는 상황,에너지를 비축하거나 잠시 성장을 멈춘 상태.
주유소,충전과 에너지,길몽,차에 기름을 가득 채우는 상황,새로운 활력을 얻거나 사업 자금을 확보하게 됨.
세차장,정화와 관리,길몽,"더러워진 차를 깨끗이 닦는 상황, 자신의 수단(사업체", 평판)을 관리하고 새단장함.
놀이터,동심과 휴식,길몽,아이들과 함께 즐겁게 노는 상황,순수한 열정을 되찾고 스트레스를 해소하는 시간.
경기장,경쟁과 승부,중립,많은 관중 속에서 경기를 하는 상황,사회적인 경쟁과 그 결과에 대한 부담감.
수영장,인위적 환경과 조절,중립,수영장에서 물놀이를 하는 상황,통제된 환경 속에서 자신의 능력을 시험함.
사우나/목욕탕,해소와 소통,길몽,사람들과 함께 씻으며 땀을 빼는 상황,심신의 피로를 풀고 주변과 허심탄회하게 소통함.
미용실,변화와 이미지 관리,중립,머리 모양을 바꾸는 상황,자신의 이미지를 쇄신하거나 새로운 변화를 줌.
화장실,해소와 비밀,중립,"볼일을 시원하게 보면 길몽,  못 보면 답답",억눌린 욕구나 고민을 해결하려는 시도.
엘리베이터,급격한 변화,중립,"빠르게 올라가면 급상승,  내려가면 하락",자신의 힘이 아닌 외부의 힘에 의한 급변.
에스컬레이터,순조로운 진행,중립,에스컬레이터를 타고 이동하는 상황,큰 노력 없이도 흐름을 타고 나아가는 상태.
지하철,공동체와 목적지,중립,많은 사람과 함께 지하철을 타는 상황,정해진 궤도 속에서 사회의 일원으로 살아감.
택시,조력자와 대가,중립,택시를 잡아타고 목적지로 가는 상황,도움을 줄 사람을 만나지만 그에 상응하는 대가를 치름.
자전거,개인의 노력과 균형,중립,자전거 페달을 밟으며 나아가는 상황,자신의 온전한 노력으로 삶의 균형을 잡으며 전진함.
오토바이,속도와 위험,중립,빠른 속도로 오토바이를 타는 상황,과감한 추진력이나 사고의 위험을 동반한 조급함.
트럭,무거운 짐과 운송,중립,큰 트럭에 짐을 가득 싣고 가는 상황,막중한 책임을 지고 목표를 향해 나아가는 과정.
버스,조직과 협동,중립,버스를 타고 여러 사람과 이동하는 상황,자신이 속한 조직의 방향성과 공동 운명을 의미함.
비행기(국제선),글로벌 확장과 이상,길몽,넓은 하늘을 가로질러 외국으로 가는 상황,자신의 영역이 크게 확장되고 이상이 높아짐.
헬리콥터,기동성과 감시,중립,하늘 위에서 아래를 내려다보는 상황,좁은 범위에서의 빠른 대처나 상황을 관조하는 시각.
열기구,낭만과 위태로움,중립,풍선을 타고 하늘을 떠다니는 상황,아름다운 꿈을 꾸지만 현실적인 기반은 약한 상태.
낙하산,안전장치와 안도,길몽,공중에서 낙하산을 펴고 안전하게 내려오는 상황,위기의 순간에 구사일생으로 도움을 받음.
스케이트/스키,기술과 즐거움,중립,얼음이나 눈 위를 미끄러지듯 달리는 상황,어려운 상황을 기술적으로 잘 극복하며 즐김.
서핑,파도(흐름) 타기,중립,거친 파도 위에서 보드를 타는 상황,인생의 거친 풍랑을 두려워하지 않고 맞서 즐김.
다이빙,결단과 도전,중립,높은 곳에서 물속으로 뛰어드는 상황,새로운 영역으로의 과감한 투신과 결단을 의미함.
등산,극복과 성취,중립,험한 산을 땀 흘리며 오르는 상황,목표 달성을 위한 인내의 과정과 그 끝에 올 성취감.
캠핑,야생성과 일탈,중립,자연 속에서 텐트를 치고 머무는 상황,일상에서 벗어난 자유와 원초적인 생명력의 회복.
낚시,기회와 기다림,중립,낚싯대를 드리우고 입질을 기다리는 상황,때를 기다리며 기회를 포착하려는 신중한 태도.
사냥,공격성과 획득,중립,목표물을 추적하여 잡으려는 상황,강력한 의지로 원하는 것을 쟁취하려는 적극적인 자세.
농사,정성과 결실,중립,밭을 갈고 씨를 뿌리는 상황,오랜 시간 공을 들여야 얻을 수 있는 정직한 성과.
꽃꽂이,조화와 장식,길몽,꽃을 예쁘게 다듬어 화병에 꽂는 상황,주변 환경을 아름답게 가꾸고 조화를 이루려는 노력.
요리,조합과 창조,중립,여러 재료를 섞어 음식을 만드는 상황,다양한 요소를 결합하여 새로운 결과물을 만들어냄.
세탁,정화와 과거 정리,길몽,더러운 옷을 깨끗이 빠는 상황,과거의 잘못이나 오명을 씻고 명예를 회복함.
청소,질서와 마음 정리,길몽,어지러운 방을 깨끗이 치우는 상황,복잡한 마음을 가다듬고 주변 환경을 정돈함.
수리/보수,회복과 보완,중립,고장 난 물건을 고치는 상황,자신의 부족한 점을 채우거나 망가진 관계를 회복함.
조립,구성과 논리,중립,작은 조각들을 맞춰 무언가를 완성하는 상황,체계적이고 논리적인 사고로 일을 완수해나감.
해체,분석과 종결,중립,완성된 것을 하나씩 뜯어내는 상황,본질을 파악하기 위한 분석이나 기존의 틀을 깨는 과정.
실험,도전과 불확실,중립,새로운 시도를 하며 결과를 지켜보는 상황,실패를 두려워하지 않는 도전 정신과 탐구욕.
강의/연설,영향력과 전달,중립,사람들 앞에서 자신의 생각을 말하는 상황,자신의 지식이나 신념을 세상에 널리 알림.
토론,갈등과 합리성,중립,상대방과 의견을 주고받으며 대립하는 상황,서로 다른 관점을 조율하고 합리적인 결론을 도출함.
투표,선택과 권리,중립,자신의 의사를 밝히는 표를 던지는 상황,사회적인 의사 결정에 참여하고 자신의 권리를 행사함.
시위/집회,요구와 연대,중립,여러 사람과 함께 목소리를 내는 상황,부당함에 맞서거나 공동의 목표를 위해 힘을 합침.
전쟁,격변과 생존,흉몽,치열한 전쟁터의 한복판에 있는 상황,감당하기 힘든 큰 시련이나 생존을 건 극한의 경쟁.
평화,안정과 조화,길몽,전쟁이 끝나고 평화로운 풍경을 보는 상황,갈등이 해소되고 마음과 주변이 평안해짐.
감옥 탈출,자유와 해방,길몽,억압된 환경에서 극적으로 벗어나는 상황,자신을 가두던 한계를 깨고 진정한 자유를 얻음.
하늘 높이 솟음,성취와 오만,중립,한없이 높이 솟아오르는 상황,큰 성공을 거두지만 자칫 세상과 단절될 위험.
땅속으로 꺼짐,위축과 근원 탐구,중립,바닥이 꺼지며 깊은 곳으로 추락하는 상황,자신감이 크게 상실되거나 자신의 뿌리를 찾아감.
미로 헤매기,혼란과 탐색,흉몽,복잡한 미로에서 나가는 길을 못 찾는 상황,현재의 삶에서 방향성을 잃고 방황하고 있음.
보이지 않는 벽,한계와 좌절,흉몽,투명한 벽에 막혀 나가지 못하는 상황,현실적인 제약이나 심리적인 장벽에 가로막힘.
몸이 커짐,확장과 과시,중립,자신의 몸이 거인처럼 커지는 상황,영향력이 커지거나 자존심이 지나치게 비대해짐.
몸이 작어짐,위축과 겸손,중립,자신의 몸이 어린이나 개미처럼 작아지는 상황,자신감이 결여되거나 초심으로 돌아가려는 마음.
투명인간,비밀과 소외,중립,남들에게 보이지 않게 되는 상황,자유롭게 행동하고 싶은 욕구나 존재감을 인정받지 못하는 소외감.
그림자가 사라짐,자아 상실과 불안,흉몽,햇빛 아래 있는데도 그림자가 없는 상황,자신의 실체에 대한 의문이나 영혼의 고갈 상태.
날씨 변화,감정의 기복,중립,갑자기 맑았다가 비가 오는 등 변덕스러운 날씨,종잡을 수 없는 자신의 감정이나 상황의 변화.
계절 변화,인생의 주기,중립,눈 깜짝할 새 봄에서 겨울로 변하는 상황,삶의 큰 흐름이나 단계를 빠르게 경험하고 있음.
우주 여행,무한한 가능성,길몽,지구를 떠나 광활한 우주를 유영하는 상황,현실의 한계를 뛰어넘는 거대한 영감과 가능성.
블랙홀,흡수와 소멸,흉몽,모든 것을 빨아들이는 구멍 속으로 끌려가는 상황,자신을 잃어버릴 듯한 압도적인 힘이나 절망감.
타임머신,과거 회귀와 미래 예측,중립,시간을 거슬러 올라가거나 앞서가는 상황,지나간 일에 대한 후회나 미래에 대한 불안/기대.
도플갱어,내면의 갈등,중립,자신과 똑같이 생긴 사람을 만나는 상황,자신의 또 다른 자아와 마주하거나 숨겨진 본성 발견.
변신,변화와 위장,중립,사람에서 동물이나 사물로 변하는 상황,환경에 적응하기 위한 변화나 자신의 본질을 숨김.
공중부양,초월과 불안정,중립,바닥에서 살짝 떠서 이동하는 상황,현실적인 기반은 약하지만 정신적으로는 자유로운 상태.
