source,dream_content,historical_interpretation,advice,persona_tone
세종실록(Sejong),학들이 궁궐 뜰에 내려와 춤을 추는 꿈,성군이 다스리는 태평성대의 상징,학문을 장려하고 백성을 살피는 정치를 계속하시오.,"나라에 상서로운 기운이 가득하구먼."
민담(Folklore),호랑이가 방안으로 들어와 눕는 꿈,가문에 귀한 손님이 오거나 큰 권력을 쥔 아이가 태어날 징조,손님을 정성껏 대접하거나 아이의 교육에 힘쓰시오.,"호랑이가 스스로 찾아오다니, 대단한 길조일세."
허준(Dongui Bogam),깊은 숲에서 길을 잃고 헤매는 꿈,간기가 울결되어 결단력이 부족하고 마음이 어지러운 상태,간을 보호하고 휴식을 취하며 마음의 안정을 찾으시오.,"자네, 요즘 마음이 몹시 어지러운 모양이군."
민간전승(Folklore),자신이 죽어서 상여를 타고 가는 꿈,과거의 고통이 끝나고 새로운 신분으로 거듭남(대통),낡은 것을 버리고 새롭게 시작하면 반드시 성공할 것이오.,"죽음은 끝이 아니라 새로운 시작이라네, 축하하네."
태몽(Traditional),용이 여의주를 물고 구름 속으로 사라지는 꿈,장차 국가의 동량이 될 큰 인물을 낳을 태몽,아이를 귀하게 기르고 큰 뜻을 품도록 격려하시오.,"여의주를 물었으니 천하를 호령하겠구먼."
민담(Folklore),지붕 위에 밝은 달이 걸려 있는 꿈,집안에 경사가 생기고 명예가 드높아질 징조,기쁜 소식을 기다리며 덕을 쌓으시오.,"집안에 빛이 가득하니 참으로 보기 좋네."
고전소설(Chunhyang),옥중에서 거울이 깨지는 꿈,불행이 끝나는 액땜이자 임을 만날 전조(역설적 해석),어려움을 견뎌내면 곧 기쁜 소식이 있을 것이오.,"거울이 깨진 것은 액운이 물러갔다는 뜻이라네."
민간전승(Folklore),바다 위에 큰 배가 가득 차 있는 꿈,막대한 재물이 들어오거나 큰 사업이 성사될 길조,들어오는 기운을 막지 말고 과감하게 추진하시오.,"바다가 돈으로 변해 들어오고 있구먼!"
삼국유사(Moonmu),꿈에 만파식적(피리)을 받는 꿈,세상의 모든 근심과 풍파를 잠재울 신성한 도구 획득,어지러운 정국을 수습하고 태평성대를 열어갈 것이오.,"만파식적이라... 온 세상의 풍파가 잠잠해지겠군."
고려사(Wang Geon),황금빛 바다 위를 걸어 다니는 꿈,온 백성의 추앙을 받으며 새로운 나라의 주인이 될 징조,민심을 얻었으니 두려워 말고 큰 뜻을 펼치시오.,"황금 바다를 걷다니, 천하가 자네의 것이로구먼."
민담(Folklore),집안의 기둥이 하늘 높이 솟구치는 꿈,가문의 영광이 시작되고 큰 인물이 배출될 길조,자손의 교육에 힘쓰고 가업을 소중히 여기시오.,"기둥이 하늘로 솟으니 가문의 기운이 대단하군."
태몽(Traditional),은하수가 집안으로 쏟아져 들어오는 꿈,세상을 밝힐 큰 학자나 예술가가 태어날 태몽,아이의 재능을 키워주고 넓은 세상을 보게 하시오.,"은하수를 품었으니 만인의 등불이 되겠구먼."
민담(Folklore),자신의 몸이 불길에 휩싸여 타는 꿈,명성이 온 나라에 퍼지고 큰 부를 축적할 아주 좋은 길몽,들어오는 복을 겸손하게 받아들이고 베푸시오.,"몸이 타오르니 그 기운이 온 천하에 떨치겠어."
태몽(Traditional),큰 구렁이가 집 대들보를 감고 있는 꿈,집안을 일으킬 영민하고 힘 있는 아이가 태어날 징조,아이를 믿고 지지해주면 큰 성공을 거둘 것이오.,"구렁이가 집을 지키니 참으로 든든한 태몽일세."
민담(Folklore),신선과 함께 바둑을 두는 꿈,귀인의 도움으로 어려운 문제를 해결하고 명예를 얻음,주변의 조언을 귀담아듣고 신중하게 처신하시오.,"신선과 대국이라니, 자네의 격이 높아졌구먼."
태몽(Traditional),황금 잉어가 용으로 변해 승천하는 꿈,어려운 환경을 뚫고 최고의 지위에 오를 대기만성형 인재 태몽,아이의 끈기를 길러주고 큰 꿈을 꾸게 하시오.,"잉어가 용이 되었으니 천하무적일세."
민담(Folklore),벼락을 맞아 죽었다가 다시 살아나는 꿈,낡은 자아를 버리고 완전히 새로운 인생으로 거듭날 길조,과거의 고통을 잊고 당당하게 새 출발을 하시오.,"벼락은 하늘의 축복이라네, 축하하네."
삼국유사(Yushin),자신의 겨드랑이에서 날개가 돋아나는 꿈,평범한 사람을 벗어나 영웅적인 기상을 펼칠 징조,자신의 역량을 믿고 대의를 위해 헌신하시오.,"날개를 얻었으니 이제 비상할 일만 남았군."
민담(Folklore),산신령이 나타나 약초를 건네주는 꿈,오랫동안 앓던 병이 낫거나 해결책을 찾게 됨,심신의 안정을 취하고 찾은 기회를 놓치지 마시오.,"산신령의 가호가 있으니 근심이 사라지겠어."
태몽(Traditional),오색 구름 위를 타고 노는 아이 꿈,신비로운 재능을 타고나 세상의 찬사를 받을 인재 태몽,아이의 창의성을 존중하고 자유롭게 키우시오.,"구름 위를 노니니 참으로 비범한 아이로구먼."
민담(Folklore),자신이 임금의 옷(곤룡포)을 입는 꿈,최고의 명예와 권력을 얻거나 조직의 수장이 됨,초심을 잃지 말고 책임감 있게 행동하시오.,"곤룡포가 잘 어울리는구먼, 큰일을 하겠어."
태몽(Traditional),밤하늘의 별들이 치마폭으로 떨어지는 꿈,대중의 사랑을 받는 예술가나 지도자가 태어날 태몽,아이의 감수성을 키워주고 큰 무대로 인도하시오.,"별을 담았으니 온 세상이 아이를 우러러보겠군."
민담(Folklore),거대한 바위가 갈라지며 보석이 나오는 꿈,막혔던 운이 트이고 숨겨진 재능이나 재물을 발견함,꾸준히 노력하면 반드시 큰 보상을 얻을 것이오.,"바위 속 보석이라... 자네의 노력이 결실을 맺었어."
태몽(Traditional),흰 코끼리가 집안으로 들어오는 꿈,지혜롭고 자비로운 성인이나 큰 학자가 태어날 태몽,아이에게 올바른 가치관을 심어주고 덕을 쌓게 하시오.,"흰 코끼리라니, 참으로 성스러운 징조로구먼."
민담(Folklore),바닷물이 집안으로 밀려들어 가득 차는 꿈,막대한 부가 들어오거나 사업이 크게 번창할 길몽,들어오는 재물을 잘 관리하고 주변에 베푸시오.,"바닷물이 곧 돈일세, 집안이 일어서겠어."
태몽(Traditional),큰 소나무 밑에 황금빛 호랑이가 앉아있는 꿈,굳건한 의지와 용맹함을 갖춘 큰 인물이 태어날 태몽,아이의 기개를 키워주고 올바른 길로 이끄시오.,"소나무와 호랑이라... 가문을 빛낼 인재로군."
민담(Folklore),죽은 나무에서 갑자기 꽃이 피는 꿈,포기했던 일이 기적적으로 성사되거나 가문이 다시 일어남,끝까지 희망을 버리지 말고 최선을 다하시오.,"죽은 나무에 꽃이라니, 하늘이 감동했구먼."
태몽(Traditional),맑은 시냇가에서 금반지를 줍는 꿈,재복과 인복을 타고난 아이가 태어나거나 귀한 인연을 만남,아이를 소중히 기르고 주변 인연을 소중히 대하시오.,"금반지라... 참으로 예쁘고 귀한 태몽일세."
민담(Folklore),자신이 학을 타고 구름 위를 날아가는 꿈,모든 번뇌를 벗어나 최고의 명예와 안식을 누리게 됨,마음을 비우고 고고한 인품을 유지하도록 힘쓰시오.,"학을 타고 날다니, 신선이 따로 없구먼."
태몽(Traditional),커다란 거북이가 바다에서 나와 인사를 하는 꿈,가문을 지키고 장수하며 명성을 떨칠 인재 태몽,아이의 건강을 살피고 큰 도량을 갖추게 하시오.,"거북이의 인사를 받았으니 대대손손 복을 누리겠군."
민담(Folklore),하늘에서 오색 무지개가 자신의 집으로 연결된 꿈,나라에서 인정받는 큰 공을 세우거나 가문에 경사가 생김,정도를 걷고 덕을 쌓으면 더 큰 영광이 올 것이오.,"무지개가 집을 비추니 기운이 상서롭구먼."
태몽(Traditional),황금빛 닭이 지붕 위에서 힘차게 우는 꿈,세상을 깨울 큰 목소리를 가진 지도자나 언론인이 될 인재 태몽,아이의 표현력을 키워주고 진실된 사람으로 기르시오.,"황금 닭의 울음소리가 천하를 진동하겠어."
민담(Folklore),사막에서 맑은 샘물이 솟아나는 꿈,어려운 고난을 극복하고 마침내 성공의 결실을 맺음,지금의 시련을 견뎌내면 반드시 좋은 날이 올 것이오.,"샘물이 솟으니 자네의 앞길이 트이겠군."
태몽(Traditional),큰 고래를 타고 바다를 건너는 꿈,글로벌한 무대에서 활약하며 큰 뜻을 펼칠 인재 태몽,아이에게 넓은 세상을 보여주고 큰 꿈을 갖게 하시오.,"고래를 탔으니 전 세계를 누비는 인물이 되겠군."
민담(Folklore),자신의 집 마당에 큰 정자가 세워지는 꿈,많은 사람의 의지처가 되고 명망을 얻게 될 징조,포용력을 넓히고 사람들을 따뜻하게 대접하시오.,"정자가 생겼으니 사람들이 자네를 따르겠어."
태몽(Traditional),오색 나비들이 아이 주변을 감싸며 춤추는 꿈,예술적 감각이 뛰어나고 만인의 사랑을 받을 인재 태몽,아이의 감성을 존중하고 창의적인 활동을 독려하시오.,"나비들의 춤이라... 참으로 아름다운 아이로군."
민담(Folklore),하늘의 문이 열리며 광명이 비추는 꿈,막혔던 운세가 완전히 열리고 최고의 지혜를 얻게 됨,절호의 기회가 왔으니 주저 말고 나아가시오.,"하늘 문이 열렸어, 이제 자네의 세상일세."
태몽(Traditional),함박눈이 내리는 날 아이가 태어나는 꿈,순수하고 고결한 성품을 가진 인재가 태어날 태몽,아이의 순수함을 지켜주고 따뜻한 마음을 길러주시오.,"함박눈처럼 깨끗하고 귀한 아이가 찾아왔구먼."
민담(Folklore),자신의 몸이 거대한 나무로 변해 뿌리 내리는 꿈,기틀이 견고해지고 자손 대대로 번창할 아주 튼튼한 길몽,내실을 기하고 주변 사람들을 잘 보살피시오.,"거목이 되었으니 자네가 가문의 뿌리일세."
태몽(Traditional),황금 열쇠를 손에 쥐는 꿈,세상의 난제를 풀거나 큰 부를 창출할 창의적인 인재 태몽,아이의 호기심을 키워주고 문제 해결 능력을 길러주시오.,"황금 열쇠라... 모든 문이 아이 앞에 열리겠군."
